herb,ingredient
Nelumbinis semen,Nelumbinis_semen_ing_55
Nelumbinis semen,Nelumbinis_semen_ing_10
Ecliptae herba,Ecliptae_herba_ing_99
Ecliptae herba,Ecliptae_herba_ing_15
Ecliptae herba,Ecliptae_herba_ing_2
Ecliptae herba,Ecliptae_herba_ing_23
Ecliptae herba,Ecliptae_herba_ing_92
Ecliptae herba,Ecliptae_herba_ing_10
Ecliptae herba,Ecliptae_herba_ing_52
Ecliptae herba,Ecliptae_herba_ing_100
Ecliptae herba,Ecliptae_herba_ing_38
Lycii fructus,Lycii_fructus_ing_94
Lycii fructus,Lycii_fructus_ing_82
Lycii fructus,Lycii_fructus_ing_98
Lycii fructus,Lycii_fructus_ing_63
Lycii fructus,Lycii_fructus_ing_36
Lycii fructus,Lycii_fructus_ing_67
Lycii fructus,Lycii_fructus_ing_65
Lycii fructus,Lycii_fructus_ing_73
Ophiopogonis radix,Ophiopogonis_radix_ing_31
Ophiopogonis radix,Ophiopogonis_radix_ing_95
Ophiopogonis radix,Ophiopogonis_radix_ing_100
Ophiopogonis radix,Ophiopogonis_radix_ing_99
Ophiopogonis radix,Ophiopogonis_radix_ing_12
Ophiopogonis radix,Ophiopogonis_radix_ing_90
Ophiopogonis radix,Ophiopogonis_radix_ing_66
Polygonati rhizoma,Polygonati_rhizoma_ing_4
Polygonati rhizoma,Polygonati_rhizoma_ing_18
Polygonati rhizoma,Polygonati_rhizoma_ing_29
Polygonati rhizoma,Polygonati_rhizoma_ing_81
Polygonati rhizoma,Polygonati_rhizoma_ing_10
Polygonati rhizoma,Polygonati_rhizoma_ing_83
Polygonati rhizoma,Polygonati_rhizoma_ing_60
Ginkgo biloba folium,Ginkgo_biloba_folium_ing_93
Ginkgo biloba folium,Ginkgo_biloba_folium_ing_24
Ginkgo biloba folium,Ginkgo_biloba_folium_ing_79
Ginkgo biloba folium,Ginkgo_biloba_folium_ing_62
Ginkgo biloba folium,Ginkgo_biloba_folium_ing_18
Ginkgo biloba folium,Ginkgo_biloba_folium_ing_3
Ginkgo biloba folium,Ginkgo_biloba_folium_ing_73
Ginkgo biloba folium,Ginkgo_biloba_folium_ing_100
Ginkgo biloba folium,Ginkgo_biloba_folium_ing_30
Ginkgo biloba folium,Ginkgo_biloba_folium_ing_69
Ginkgo biloba folium,Ginkgo_biloba_folium_ing_74
Uncariae ramulus cum uncis,Uncariae_ramulus_cum_uncis_ing_76
Uncariae ramulus cum uncis,Uncariae_ramulus_cum_uncis_ing_73
Uncariae ramulus cum uncis,Uncariae_ramulus_cum_uncis_ing_63
Uncariae ramulus cum uncis,Uncariae_ramulus_cum_uncis_ing_78
Uncariae ramulus cum uncis,Uncariae_ramulus_cum_uncis_ing_79
Uncariae ramulus cum uncis,Uncariae_ramulus_cum_uncis_ing_42
Uncariae ramulus cum uncis,Uncariae_ramulus_cum_uncis_ing_91
Uncariae ramulus cum uncis,Uncariae_ramulus_cum_uncis_ing_47
Uncariae ramulus cum uncis,Uncariae_ramulus_cum_uncis_ing_51
Uncariae ramulus cum uncis,Uncariae_ramulus_cum_uncis_ing_63
Cassiae semen,Cassiae_semen_ing_29
Cassiae semen,Cassiae_semen_ing_90
Cassiae semen,Cassiae_semen_ing_79
Cassiae semen,Cassiae_semen_ing_43
Cassiae semen,Cassiae_semen_ing_82
Cassiae semen,Cassiae_semen_ing_94
Cassiae semen,Cassiae_semen_ing_33
Cassiae semen,Cassiae_semen_ing_57
Cassiae semen,Cassiae_semen_ing_49
Cassiae semen,Cassiae_semen_ing_74
Mori folium,Mori_folium_ing_3
Mori folium,Mori_folium_ing_21
Mori folium,Mori_folium_ing_44
Mori folium,Mori_folium_ing_21
Mori folium,Mori_folium_ing_25
Mori folium,Mori_folium_ing_39
Mori folium,Mori_folium_ing_63
Mori folium,Mori_folium_ing_38
Mori folium,Mori_folium_ing_40
Artemisiae annuae herba,Artemisiae_annuae_herba_ing_48
Artemisiae annuae herba,Artemisiae_annuae_herba_ing_35
Artemisiae annuae herba,Artemisiae_annuae_herba_ing_97
Artemisiae annuae herba,Artemisiae_annuae_herba_ing_61
Artemisiae annuae herba,Artemisiae_annuae_herba_ing_67
Artemisiae annuae herba,Artemisiae_annuae_herba_ing_25
Artemisiae annuae herba,Artemisiae_annuae_herba_ing_26
Cinnamomi cortex,Cinnamomi_cortex_ing_12
Cinnamomi cortex,Cinnamomi_cortex_ing_2
Cinnamomi cortex,Cinnamomi_cortex_ing_13
Cinnamomi cortex,Cinnamomi_cortex_ing_37
Cinnamomi cortex,Cinnamomi_cortex_ing_5
Cinnamomi cortex,Cinnamomi_cortex_ing_88
Puerariae lobatae radix,Puerariae_lobatae_radix_ing_35
Puerariae lobatae radix,Puerariae_lobatae_radix_ing_63
Puerariae lobatae radix,Puerariae_lobatae_radix_ing_39
Puerariae lobatae radix,Puerariae_lobatae_radix_ing_57
Puerariae lobatae radix,Puerariae_lobatae_radix_ing_67
Puerariae lobatae radix,Puerariae_lobatae_radix_ing_65
Puerariae lobatae radix,Puerariae_lobatae_radix_ing_26
Puerariae lobatae radix,Puerariae_lobatae_radix_ing_7
Puerariae lobatae radix,Puerariae_lobatae_radix_ing_82
Puerariae lobatae radix,Puerariae_lobatae_radix_ing_63
Puerariae lobatae radix,Puerariae_lobatae_radix_ing_34
Puerariae lobatae radix,Puerariae_lobatae_radix_ing_21
Ephedrae herba,Ephedrae_herba_ing_3
Ephedrae herba,Ephedrae_herba_ing_83
Ephedrae herba,Ephedrae_herba_ing_78
Ephedrae herba,Ephedrae_herba_ing_49
Ephedrae herba,Ephedrae_herba_ing_80
Ephedrae herba,Ephedrae_herba_ing_72
Ephedrae herba,Ephedrae_herba_ing_36
Ephedrae herba,Ephedrae_herba_ing_20
Ephedrae herba,Ephedrae_herba_ing_41
Ephedrae herba,Ephedrae_herba_ing_34
Ephedrae herba,Ephedrae_herba_ing_44
Ephedrae herba,Ephedrae_herba_ing_86
Ephedrae herba,Ephedrae_herba_ing_24
Asari radix,Asari_radix_ing_98
Asari radix,Asari_radix_ing_12
Asari radix,Asari_radix_ing_43
Asari radix,Asari_radix_ing_82
Asari radix,Asari_radix_ing_68
Asari radix,Asari_radix_ing_44
Asari radix,Asari_radix_ing_100
Asari radix,Asari_radix_ing_41
Asari radix,Asari_radix_ing_27
Asari radix,Asari_radix_ing_98
Asari radix,Asari_radix_ing_55
Asari radix,Asari_radix_ing_48
Asari radix,Asari_radix_ing_68
Fritillariae thunbergii bulbus,Fritillariae_thunbergii_bulbus_ing_89
Fritillariae thunbergii bulbus,Fritillariae_thunbergii_bulbus_ing_9
Fritillariae thunbergii bulbus,Fritillariae_thunbergii_bulbus_ing_59
Fritillariae thunbergii bulbus,Fritillariae_thunbergii_bulbus_ing_97
Fritillariae thunbergii bulbus,Fritillariae_thunbergii_bulbus_ing_3
Fritillariae thunbergii bulbus,Fritillariae_thunbergii_bulbus_ing_76
Fritillariae thunbergii bulbus,Fritillariae_thunbergii_bulbus_ing_99
Fritillariae thunbergii bulbus,Fritillariae_thunbergii_bulbus_ing_15
Pinelliae rhizoma,Pinelliae_rhizoma_ing_81
Pinelliae rhizoma,Pinelliae_rhizoma_ing_13
Pinelliae rhizoma,Pinelliae_rhizoma_ing_80
Pinelliae rhizoma,Pinelliae_rhizoma_ing_64
Pinelliae rhizoma,Pinelliae_rhizoma_ing_26
Pinelliae rhizoma,Pinelliae_rhizoma_ing_27
Pinelliae rhizoma,Pinelliae_rhizoma_ing_86
Pinelliae rhizoma,Pinelliae_rhizoma_ing_33
Pinelliae rhizoma,Pinelliae_rhizoma_ing_23
Pinelliae rhizoma,Pinelliae_rhizoma_ing_87
Pinelliae rhizoma,Pinelliae_rhizoma_ing_2
Pinelliae rhizoma,Pinelliae_rhizoma_ing_57
Pinelliae rhizoma,Pinelliae_rhizoma_ing_59
Pinelliae rhizoma,Pinelliae_rhizoma_ing_84
Pinelliae rhizoma,Pinelliae_rhizoma_ing_21
Arisaematis rhizoma,Arisaematis_rhizoma_ing_87
Arisaematis rhizoma,Arisaematis_rhizoma_ing_94
Arisaematis rhizoma,Arisaematis_rhizoma_ing_53
Arisaematis rhizoma,Arisaematis_rhizoma_ing_99
Arisaematis rhizoma,Arisaematis_rhizoma_ing_13
Arisaematis rhizoma,Arisaematis_rhizoma_ing_20
Arisaematis rhizoma,Arisaematis_rhizoma_ing_64
Arisaematis rhizoma,Arisaematis_rhizoma_ing_43
Arisaematis rhizoma,Arisaematis_rhizoma_ing_31
Arisaematis rhizoma,Arisaematis_rhizoma_ing_58
Arisaematis rhizoma,Arisaematis_rhizoma_ing_16
Arisaematis rhizoma,Arisaematis_rhizoma_ing_12
Arisaematis rhizoma,Arisaematis_rhizoma_ing_44
Arisaematis rhizoma,Arisaematis_rhizoma_ing_99
Typhae pollen,Typhae_pollen_ing_44
Typhae pollen,Typhae_pollen_ing_90
Typhae pollen,Typhae_pollen_ing_18
Typhae pollen,Typhae_pollen_ing_28
Typhae pollen,Typhae_pollen_ing_82
Sparganii rhizoma,Sparganii_rhizoma_ing_68
Sparganii rhizoma,Sparganii_rhizoma_ing_75
Sparganii rhizoma,Sparganii_rhizoma_ing_17
Sparganii rhizoma,Sparganii_rhizoma_ing_42
Sparganii rhizoma,Sparganii_rhizoma_ing_44
Curcumae zedoariae rhizoma,Curcumae_zedoariae_rhizoma_ing_39
Curcumae zedoariae rhizoma,Curcumae_zedoariae_rhizoma_ing_92
Curcumae zedoariae rhizoma,Curcumae_zedoariae_rhizoma_ing_23
Curcumae zedoariae rhizoma,Curcumae_zedoariae_rhizoma_ing_74
Curcumae zedoariae rhizoma,Curcumae_zedoariae_rhizoma_ing_2
Curcumae zedoariae rhizoma,Curcumae_zedoariae_rhizoma_ing_21
Curcumae zedoariae rhizoma,Curcumae_zedoariae_rhizoma_ing_38
Curcumae zedoariae rhizoma,Curcumae_zedoariae_rhizoma_ing_14
Curcumae zedoariae rhizoma,Curcumae_zedoariae_rhizoma_ing_90
Curcumae zedoariae rhizoma,Curcumae_zedoariae_rhizoma_ing_88
Curcumae zedoariae rhizoma,Curcumae_zedoariae_rhizoma_ing_100
Curcumae zedoariae rhizoma,Curcumae_zedoariae_rhizoma_ing_70
Curcumae zedoariae rhizoma,Curcumae_zedoariae_rhizoma_ing_23
Polygoni hydropiperis herba,Polygoni_hydropiperis_herba_ing_1
Polygoni hydropiperis herba,Polygoni_hydropiperis_herba_ing_77
Polygoni hydropiperis herba,Polygoni_hydropiperis_herba_ing_79
Polygoni hydropiperis herba,Polygoni_hydropiperis_herba_ing_91
Polygoni hydropiperis herba,Polygoni_hydropiperis_herba_ing_21
Polygoni hydropiperis herba,Polygoni_hydropiperis_herba_ing_43
Polygoni hydropiperis herba,Polygoni_hydropiperis_herba_ing_72
Polygoni hydropiperis herba,Polygoni_hydropiperis_herba_ing_58
Polygoni hydropiperis herba,Polygoni_hydropiperis_herba_ing_6
Saussureae radix,Saussureae_radix_ing_4
Saussureae radix,Saussureae_radix_ing_84
Saussureae radix,Saussureae_radix_ing_99
Saussureae radix,Saussureae_radix_ing_55
Saussureae radix,Saussureae_radix_ing_95
Saussureae radix,Saussureae_radix_ing_92
Saussureae radix,Saussureae_radix_ing_10
Saussureae radix,Saussureae_radix_ing_50
Saussureae radix,Saussureae_radix_ing_80
Amomi fructus,Amomi_fructus_ing_46
Amomi fructus,Amomi_fructus_ing_49
Amomi fructus,Amomi_fructus_ing_51
Amomi fructus,Amomi_fructus_ing_94
Amomi fructus,Amomi_fructus_ing_6
Amomi fructus,Amomi_fructus_ing_69
Evodiae fructus,Evodiae_fructus_ing_66
Evodiae fructus,Evodiae_fructus_ing_33
Evodiae fructus,Evodiae_fructus_ing_7
Evodiae fructus,Evodiae_fructus_ing_75
Evodiae fructus,Evodiae_fructus_ing_9
Evodiae fructus,Evodiae_fructus_ing_40
Evodiae fructus,Evodiae_fructus_ing_29
Evodiae fructus,Evodiae_fructus_ing_60
Evodiae fructus,Evodiae_fructus_ing_36
Evodiae fructus,Evodiae_fructus_ing_81
Evodiae fructus,Evodiae_fructus_ing_65
Evodiae fructus,Evodiae_fructus_ing_52
Evodiae fructus,Evodiae_fructus_ing_47
Evodiae fructus,Evodiae_fructus_ing_65
Evodiae fructus,Evodiae_fructus_ing_88
Alpiniae oxyphyllae fructus,Alpiniae_oxyphyllae_fructus_ing_73
Alpiniae oxyphyllae fructus,Alpiniae_oxyphyllae_fructus_ing_63
Alpiniae oxyphyllae fructus,Alpiniae_oxyphyllae_fructus_ing_27
Alpiniae oxyphyllae fructus,Alpiniae_oxyphyllae_fructus_ing_42
Alpiniae oxyphyllae fructus,Alpiniae_oxyphyllae_fructus_ing_36
Alpiniae oxyphyllae fructus,Alpiniae_oxyphyllae_fructus_ing_47
Alpiniae oxyphyllae fructus,Alpiniae_oxyphyllae_fructus_ing_46
Myristicae semen,Myristicae_semen_ing_57
Myristicae semen,Myristicae_semen_ing_28
Myristicae semen,Myristicae_semen_ing_16
Myristicae semen,Myristicae_semen_ing_87
Myristicae semen,Myristicae_semen_ing_17
Myristicae semen,Myristicae_semen_ing_24
Myristicae semen,Myristicae_semen_ing_37
Piperis longi fructus,Piperis_longi_fructus_ing_22
Piperis longi fructus,Piperis_longi_fructus_ing_99
Piperis longi fructus,Piperis_longi_fructus_ing_93
Piperis longi fructus,Piperis_longi_fructus_ing_17
Piperis longi fructus,Piperis_longi_fructus_ing_65
Piperis longi fructus,Piperis_longi_fructus_ing_5
Piperis longi fructus,Piperis_longi_fructus_ing_1
Piperis longi fructus,Piperis_longi_fructus_ing_62
Piperis longi fructus,Piperis_longi_fructus_ing_13
Piperis longi fructus,Piperis_longi_fructus_ing_77
Piperis longi fructus,Piperis_longi_fructus_ing_67
Piperis longi fructus,Piperis_longi_fructus_ing_89
Caryophylli flos,Caryophylli_flos_ing_69
Caryophylli flos,Caryophylli_flos_ing_71
Caryophylli flos,Caryophylli_flos_ing_91
Caryophylli flos,Caryophylli_flos_ing_90
Caryophylli flos,Caryophylli_flos_ing_44
Caryophylli flos,Caryophylli_flos_ing_12
Caryophylli flos,Caryophylli_flos_ing_9
Caryophylli flos,Caryophylli_flos_ing_52
Caryophylli flos,Caryophylli_flos_ing_64
Paeoniae radix rubra,Paeoniae_radix_rubra_ing_66
Paeoniae radix rubra,Paeoniae_radix_rubra_ing_21
Paeoniae radix rubra,Paeoniae_radix_rubra_ing_86
Paeoniae radix rubra,Paeoniae_radix_rubra_ing_12
Paeoniae radix rubra,Paeoniae_radix_rubra_ing_29
Paeoniae radix rubra,Paeoniae_radix_rubra_ing_72
Paeoniae radix rubra,Paeoniae_radix_rubra_ing_15
Paeoniae radix rubra,Paeoniae_radix_rubra_ing_49
Paeoniae radix rubra,Paeoniae_radix_rubra_ing_4
Paeoniae radix rubra,Paeoniae_radix_rubra_ing_41
Paeoniae radix rubra,Paeoniae_radix_rubra_ing_37
Paeoniae radix rubra,Paeoniae_radix_rubra_ing_44
Paeoniae radix rubra,Paeoniae_radix_rubra_ing_41
Paeoniae radix rubra,Paeoniae_radix_rubra_ing_25
Rehmanniae radix praeparata,Rehmanniae_radix_praeparata_ing_80
Rehmanniae radix praeparata,Rehmanniae_radix_praeparata_ing_85
Rehmanniae radix praeparata,Rehmanniae_radix_praeparata_ing_80
Rehmanniae radix praeparata,Rehmanniae_radix_praeparata_ing_24
Rehmanniae radix praeparata,Rehmanniae_radix_praeparata_ing_70
Rehmanniae radix praeparata,Rehmanniae_radix_praeparata_ing_88
Rehmanniae radix praeparata,Rehmanniae_radix_praeparata_ing_59
Rehmanniae radix praeparata,Rehmanniae_radix_praeparata_ing_42
Moutan cortex,Moutan_cortex_ing_79
Moutan cortex,Moutan_cortex_ing_48
Moutan cortex,Moutan_cortex_ing_88
Moutan cortex,Moutan_cortex_ing_72
Moutan cortex,Moutan_cortex_ing_2
Moutan cortex,Moutan_cortex_ing_81
Moutan cortex,Moutan_cortex_ing_51
Moutan cortex,Moutan_cortex_ing_33
Moutan cortex,Moutan_cortex_ing_72
Moutan cortex,Moutan_cortex_ing_78
Moutan cortex,Moutan_cortex_ing_100
Moutan cortex,Moutan_cortex_ing_58
Phellodendri cortex,Phellodendri_cortex_ing_19
Phellodendri cortex,Phellodendri_cortex_ing_81
Phellodendri cortex,Phellodendri_cortex_ing_38
Phellodendri cortex,Phellodendri_cortex_ing_47
Phellodendri cortex,Phellodendri_cortex_ing_33
Phellodendri cortex,Phellodendri_cortex_ing_13
Phellodendri cortex,Phellodendri_cortex_ing_7
Phellodendri cortex,Phellodendri_cortex_ing_98
Phellodendri cortex,Phellodendri_cortex_ing_11
Phellodendri cortex,Phellodendri_cortex_ing_68
Phellodendri cortex,Phellodendri_cortex_ing_42
Phellodendri cortex,Phellodendri_cortex_ing_90
Phellodendri cortex,Phellodendri_cortex_ing_82
Phellodendri cortex,Phellodendri_cortex_ing_53
Phellodendri cortex,Phellodendri_cortex_ing_18
Acori tatarinowii rhizoma,Acori_tatarinowii_rhizoma_ing_39
Acori tatarinowii rhizoma,Acori_tatarinowii_rhizoma_ing_38
Acori tatarinowii rhizoma,Acori_tatarinowii_rhizoma_ing_21
Acori tatarinowii rhizoma,Acori_tatarinowii_rhizoma_ing_98
Acori tatarinowii rhizoma,Acori_tatarinowii_rhizoma_ing_9
Acori tatarinowii rhizoma,Acori_tatarinowii_rhizoma_ing_80
Acori tatarinowii rhizoma,Acori_tatarinowii_rhizoma_ing_69
Acori tatarinowii rhizoma,Acori_tatarinowii_rhizoma_ing_37
Acori tatarinowii rhizoma,Acori_tatarinowii_rhizoma_ing_20
Acori tatarinowii rhizoma,Acori_tatarinowii_rhizoma_ing_54
Acori tatarinowii rhizoma,Acori_tatarinowii_rhizoma_ing_5
Acori tatarinowii rhizoma,Acori_tatarinowii_rhizoma_ing_51
Curcumae radix,Curcumae_radix_ing_49
Curcumae radix,Curcumae_radix_ing_92
Curcumae radix,Curcumae_radix_ing_5
Curcumae radix,Curcumae_radix_ing_27
Curcumae radix,Curcumae_radix_ing_96
Curcumae radix,Curcumae_radix_ing_86
Curcumae radix,Curcumae_radix_ing_2
Curcumae radix,Curcumae_radix_ing_32
Curcumae radix,Curcumae_radix_ing_89
