herb ,efficacy
H0106,Disperse the wind 
H0106,Clear leader 
H0106,Clear heat 
H0106,Quench thirst  
H0106,Get rid of trouble
Zi Cao,Cool blood  
Zi Cao,Invigorate blood 
Zi Cao,Detoxify 
Zi Cao,Rash 
Ye Pu Tao Teng,Insecticide 
Ye Pu Tao Teng,Analgesic
Ye Pu Tao Teng,Invigorate blood 
Ye Pu Tao Teng,Eliminate carbuncle 
Ye Pu Tao Teng,Dispel the wind  
Ye Pu Tao Teng,Detoxify 
Ye Pu Tao Teng,Dehumidification
Zhi He Shou Wu,Nourish blood 
Zhi He Shou Wu,Cut malaria 
Zhi He Shou Wu,Run intestines
Zhi He Shou Wu,Nourish yin 
Zhi He Shou Wu,Dispel the wind  
Zhi He Shou Wu,Detoxify 
Zhi He Shou Wu,Laxative
Duan Zhi Ran Tong,Sekkotsuin 
Duan Zhi Ran Tong,Sanyu
Duan Zhi Ran Tong,Analgesic
Duan Zhi Ran Tong,Susuji 
H1109,Dampness  
H1109,Clear heat 
H1109,Detoxify 
Chao Lai Fu Zi,Resolve phlegm 
Chao Lai Fu Zi,Lead lag 
Chao Lai Fu Zi,Digestion 
Chao Lai Fu Zi,Lower breath 
H0734,Water utilization
H0734,convergence 
H0734,Eyesight 
H0734,Antidiarrheal 
H0734,Depletion 
H0734,Liver cleansing 
H0734,Detoxify 
H0113,Diuretic
H0113,Reduce swelling 
H0113,Clear heat 
H0113,Detoxify 
DUAN CI SHI,Soothe the nerves 
DUAN CI SHI,Asthma 
DUAN CI SHI,Pinggan 
DUAN CI SHI,Eyesight 
DUAN CI SHI,Qianyang 
DUAN CI SHI,Nai Qi 
DUAN CI SHI,Clever 
DUAN CI SHI,Stun
H0450,Libi 
H0450,Dehumidification 
H0450,Resolve phlegm 
H0450,Resuscitate 
H0450,Analgesic
H0450,Reduce swelling 
H0450,Dispel the wind  
H0450,Qi 
H0422,Lag 
H0422,Huayu 
H0422,Chemical product 
H0422,Digestion 
H1062,Help Yang 
H1062,Huiyang 
H1062,Rescue 
H1062,Dispel cold  
H1062,Fill the fire 
H1062,Dehumidification
H0248,Constrict the lungs 
H0248,Analgesic
H0248,Astringent intestines 
Yin Qi Shi,Warm the kidney 
Yin Qi Shi,Tonic
H0355,Cool liver 
H0355,Resuscitate 
H0355,Pure heart 
H0355,Clear heat 
H0355,Detoxify 
H0355,Phlegm 
Ku Fan,Insecticide 
Ku Fan,Antidiarrheal 
Ku Fan,Hemostasis 
Ku Fan,Dampness 
Ku Fan,Expectorant  
Ku Fan,Detoxify 
Liu Yi San,Dampness  
Liu Yi San,Heat up 
Zhi Xiang Fu,Fetus 
Zhi Xiang Fu,Analgesic
Zhi Xiang Fu,Li Qi 
Zhi Xiang Fu,Depression 
Zhi Xiang Fu,Menstruation
Bi Cheng Jia,Dispel cold  
Bi Cheng Jia,Warm the kidney  
Bi Cheng Jia,Analgesic
Bi Cheng Jia,Wenzhong  
Bi Cheng Jia,Qi 
H0449,Resolve phlegm 
H0449,Break up 
H0449,Antispasmodic 
H0449,Dispel the wind  
H1038,Challenge 
H1038,Insecticide 
H1038,Antipruritic
H1038,Analgesic
H1038,Reduce swelling 
H1038,Dispel the wind  
Hu Lu Ba,Help Yang 
Hu Lu Ba,Dispel cold  
Hu Lu Ba,Analgesic
Hu Lu Ba,Warm the kidney 
H0995,Reality 
H0995,Yijing 
H0995,Invigorate
H0995,Nourish the lungs 
H0995,Tonifying the kidney 
Mai Fu,Nourish yin 
Mai Fu,Hold sweat 
Mai Fu,Clear heat 
Yi Yuan San,Qingshu 
Yi Yuan San,Dampness  
H0794,Resolve phlegm 
H0794,Break up 
H0794,Cough  
H0794,Reduce swelling 
H0794,Clear heat 
H0794,Lower breath 
Ou Jie,Sanyu
Ou Jie,Hemostasis 
H0261,Analgesic
H0261,Invigorate blood 
H0261,Reduce swelling 
H0261,Muscle growth
H0341,Urinate 
H0341,Rheumatism 
H0341,Pass through 
H0341,Tongluo 
Duan Chi Shi Zhi,convergence 
Duan Chi Shi Zhi,Hygroscopic 
Duan Chi Shi Zhi,Sore 
Duan Chi Shi Zhi,Hemostasis 
Duan Chi Shi Zhi,Astringent intestines 
Duan Chi Shi Zhi,Muscle growth
H0328,Analgesic
H0328,Active 
H0328,Reduce swelling 
H0328,Rheumatism 
H0328,Shujin 
Shu Yang Quan,Pit cancer 
Shu Yang Quan,Anti-inflammatory
Shu Yang Quan,Dampness
Shu Yang Quan,Detoxify 
Duan Zhe Shi,Cool blood  
Duan Zhe Shi,Pinggan 
Duan Zhe Shi,Hemostasis 
Duan Zhe Shi,Qianyang 
Duan Zhe Shi,Important town 
Duan Zhe Shi,Inverse reduction 
Chao Dao Ya,Strengthen the spleen
Chao Dao Ya,Wanaka 
Chao Dao Ya,Appetizer 
Chao Dao Ya,Digestion 
Zhen Zhu Mu,Soothe the nerves 
Zhen Zhu Mu,Surely shocked 
Zhen Zhu Mu,Pinggan 
Zhen Zhu Mu,Eyesight 
Zhen Zhu Mu,Liver cleansing 
Zhen Zhu Mu,Qianyang 
H0274,Lead lag 
H0274,Analgesic
H0274,Qi 
H0274,Tune in  
H0344,Liyan 
H0344,Clear heat 
H0344,Shengjin 
H0344,Detoxify 
Zhu Ban Xia,Resolve phlegm 
Zhu Ban Xia,Break up 
Zhu Ban Xia,Anti-vomiting 
Zhu Ban Xia,Extinguishing 
Zhu Ban Xia,Dampness 
Zhu Ban Xia,Inverse reduction 
H0115,Get angry  
H0115,Resolve phlegm 
H0115,Cough  
H0115,Nourish the lungs
H0073,Disperse the wind 
H0073,Solution table 
H0073,Rash 
H0111,Insecticide 
H0111,Clear heat 
H0111,Dampness 
H0111,Dispel the wind  
Hai Ge Ke,Water utilization
Hai Ge Ke,Acid production
Hai Ge Ke,Resolve phlegm 
Hai Ge Ke,Hygroscopic 
Hai Ge Ke,Sore 
Hai Ge Ke,Break up 
Hai Ge Ke,Analgesic
Hai Ge Ke,Reduce swelling 
Hai Ge Ke,Cleans the lungs 
Hai Ge Ke,Soft 
H1166,Nourish blood 
H1166,Cut malaria 
H1166,Run intestines
H1166,Nourish yin 
H1166,Dispel the wind  
H1166,Detoxify 
H1166,Laxative
Mi Gua Lou Ren,Resolve phlegm 
Mi Gua Lou Ren,Cleans the lungs 
Mi Gua Lou Ren,Slippery bowel 
Mi Gua Lou Ren,Laxative
H0010,convergence 
H0010,Stop band 
H0010,Stop dysentery 
H0010,Hemostasis 
Ju Ye,Resolve phlegm 
Ju Ye,Anti-swelling 
Ju Ye,Soothing the liver 
Ju Ye,Qi 
H0882,Cough  
H0882,Invigorate blood 
H0882,Dispel the wind  
H0882,Tongluo 
H0882,Dehumidification
H0346,Pinggan 
H0346,Analgesic
H0346,Reduce swelling 
H0346,Qi 
H0346,Detoxify 
H0346,Buck 
Hong Teng,Insecticide 
Hong Teng,Analgesic
Hong Teng,Invigorate blood 
Hong Teng,Eliminate carbuncle 
Hong Teng,Dispel the wind  
Hong Teng,Detoxify 
Hong Teng,Dehumidification
Hua Sheng Yi,Sanyu
Hua Sheng Yi,Hemostasis 
Hua Sheng Yi,Reduce swelling 
Jiang Can,Liyan 
Jiang Can,Resolve phlegm 
Jiang Can,Break up 
Jiang Can,Antispasmodic 
Jiang Can,Dispel the wind  
Jiang Can,Detoxify 
H0042,Cool blood  
H0042,Insecticide 
H0042,Stop dysentery 
H0042,Clear heat 
H0042,Dampness 
H0042,Detoxify 
H0074,Astringent 
H0074,Hemostasis 
H0510,Resuscitate 
H0510,Analgesic
H0510,Pi Hui
H0510,Wake up 
H0185,Cool blood  
H0185,Reduce swelling 
H0185,Dispel the wind  
H0185,Tongluo 
H0404,Break up 
H0404,Reduce swelling 
H0404,Clear heat 
H0404,Detoxify 
H1169,Cool blood  
H1169,Qingshu 
H1169,Hemostasis 
H1169,Clear heat 
H1169,Relieve heat 
H0351,Cool blood  
H0351,Dampness  
H0351,Break up 
H0351,Hemostasis 
H0351,Clear heat 
H0351,Detoxify 
H0366,Help Yang 
H0366,Flash point 
H0366,Dispel cold  
H0366,Analgesic
H0366,Wenjing 
H0366,Fill the fire 
H0366,Tongmai
Yeyi Gen,Strengthen the spleen
Yeyi Gen,Dampness  
Yeyi Gen,Pus
Yeyi Gen,Clear heat 
Yeyi Gen,Shujin 
Yeyi Gen,Chu Bi 
H0444,Cough  
H0444,Analgesic
H0444,Purging fire 
H0444,Nourish the lungs
H0444,Yiqi 
H0444,Urgency 
H0444,Make up
H0444,Detoxify 
H0444,Reconcile all medicines
H0674,Dispel the wind and chill 
H0674,Nasal orifice 
H0210,Nourish the lungs
H0210,Pure heart 
H0210,Nourish yin 
H0210,Shengjin 
H0210,Benefit stomach 
H0210,Get rid of trouble
H0621,Urinate 
H0621,Quench thirst 
H0621,Qingshu 
H0621,Antipyretic 
H0272,Solid 
H0272,Soothe the nerves 
H0272,Pinggan 
H0272,convergence 
H0272,Break up 
H0272,Qianyang 
H0272,Soft 
H0272,Important town 
H1181,Moisturize  
H1181,Run intestines
H1181,Yijing 
H1181,Nourish the liver 
H1181,Tonifying the kidney 
H1181,Tonic 
Da Io Sumi,Cool blood  
Da Io Sumi,Attack and accumulation 
Da Io Sumi,Hemostasis 
Da Io Sumi,Purging fire 
Da Io Sumi,Damp heat 
Da Io Sumi,Remove blood stasis 
Da Io Sumi,Detoxify 
Tang Gu Sui Bu,Strong bones 
Tang Gu Sui Bu,Analgesic
Tang Gu Sui Bu,Invigorate blood 
Tang Gu Sui Bu,Tonifying the kidney 
Jiao Bai Zhu,Strengthen the spleen
Jiao Bai Zhu,Water utilization
Jiao Bai Zhu,Fetus 
Jiao Bai Zhu,Antiperspirant
Jiao Bai Zhu,Dampness 
Jiao Bai Zhu,Yiqi 
H0398,Dehumidification 
H0398,Fetus 
H0398,Kanaka 
H0398,Appetizer 
H0398,Antidiarrheal 
H0398,Warm the spleen 
H0398,Qi 
Dai Ha Na,And stomach
Dai Ha Na,Wide chest 
Dai Ha Na,Anti-vomiting 
Dai Ha Na,Li Qi 
H0015,Break up 
H0015,Blood stasis  
H0015,Soft 
H0015,Lower breath 
Jiu Jie Chang Pu,Libi 
Jiu Jie Chang Pu,Dehumidification 
Jiu Jie Chang Pu,Resolve phlegm 
Jiu Jie Chang Pu,Resuscitate 
Jiu Jie Chang Pu,Analgesic
Jiu Jie Chang Pu,Reduce swelling 
Jiu Jie Chang Pu,Dispel the wind  
Jiu Jie Chang Pu,Qi 
Ze Xie,Water utilization
Ze Xie,Venting heat   
Ze Xie,Wetting 
Ze Xie,Tonglin
Chao Zhi Shi,Resolve phlegm 
Chao Zhi Shi,Disperse ruffian
Chao Zhi Shi,Depletion 
Chao Zhi Shi,Break gas 
Duan Yu Liang Shi,Stop band 
Duan Yu Liang Shi,Hemostasis 
Duan Yu Liang Shi,Astringent intestines 
H0412,Resuscitate 
H0412,Heat dissipation 
H0412,Eyesight 
H0412,Analgesic
H0412,Retreat 
H0412,Wake up 
Zi Shi Ying,Help Yang 
Zi Shi Ying,Soothe the nerves 
Zi Shi Ying,Asthma 
Zi Shi Ying,Warm the lungs 
Zi Shi Ying,Warm the kidney 
Zi Shi Ying,Zhenxin 
Chao Hei Qian Niu,Water utilization
Chao Hei Qian Niu,Insecticide 
Chao Hei Qian Niu,Depletion 
Chao Hei Qian Niu,Expectorant  
Chao Hei Qian Niu,Drink by drink 
Chao Hei Qian Niu,Laxative
Shu Di Huang Tan,Filling 
Shu Di Huang Tan,Moisturize 
Shu Di Huang Tan,Yijing 
Shu Di Huang Tan,Tonic 
H0506,Detoxification 
H0506,Pus
H0506,Analgesic
H0506,Dampness 
H0506,Muscle growth
H0506,Dispel the wind  
Cha Shu Gen,Strong heart
Cha Shu Gen,Invigorate blood 
Cha Shu Gen,Clear heat 
Cha Shu Gen,Diuretic
Cha Shu Gen,Menstruation
Cha Shu Gen,Detoxify 
Jiang Yong,Liyan 
Jiang Yong,Resolve phlegm 
Jiang Yong,Break up 
Jiang Yong,Antispasmodic 
Jiang Yong,Dispel the wind  
Jiang Yong,Detoxify 
DUAN LONG GU,Solid 
DUAN LONG GU,Soothe the nerves 
DUAN LONG GU,Pinggan 
DUAN LONG GU,convergence 
DUAN LONG GU,Qianyang 
DUAN LONG GU,Stun
H1094,Qingshu 
H1094,Publish 
H1094,Antidiarrheal 
H1094,Quench thirst 
H1094,Shengjin 
H1094,Untie muscles 
H1094,Fever 
H1094,Rash 
H1251,Fetus 
H1251,Hemostasis 
H1251,Purging fire 
H1251,Clear heat 
H1251,Dampness 
H1251,Detoxify 
Duan Qing Meng Shi,Get angry  
Duan Qing Meng Shi,Phlegm 
Duan Qing Meng Shi,Surely shocked 
Duan Qing Meng Shi,Pinggan 
Duan Qing Meng Shi,Attack product 
Duan Qing Meng Shi,Digestion 
Xiao Tong Cao,Breast milk 
Xiao Tong Cao,Diuretic
Xiao Tong Cao,Clear heat 
Gou Gu Ye,Cool blood  
Gou Gu Ye,Cleans the lungs 
Gou Gu Ye,Reduce fire 
Gou Gu Ye,Desteaming 
Feng Huang Yi,Nourish yin 
Feng Huang Yi,Sekkotsuin 
Feng Huang Yi,Sore 
Feng Huang Yi,Cleans the lungs 
Feng Huang Yi,Retreat 
SHI GAO,Quench thirst 
SHI GAO,Clear heat 
SHI GAO,Untie muscles 
SHI GAO,Get rid of trouble
Mao Yan Cao,Detoxification 
Mao Yan Cao,Break up 
Mao Yan Cao,Insecticide 
Mao Yan Cao,Expectorant  
Mao Yan Cao,Chase water 
Mao Yan Cao,Antitussive 
H0417,Nourish the lungs 
H0417,Gushen 
H0417,Yijing 
H0417,Nourish the spleen  
Sheng Bai Bu,Insecticide 
Sheng Bai Bu,Cough  
Sheng Bai Bu,Nourish the lungs
Sheng Bai Bu,Kill lice 
H0364,Nourish blood 
H0364,Help Yang 
H0364,Run intestines
H0364,Yijing 
H0364,Tonifying the kidney 
H0364,Laxative
Wu Yi,Insecticide 
Wu Yi,Depletion 
H0642,Strong bones 
H0642,Rheumatism 
Sheng Bai Zhu,Strengthen the spleen
Sheng Bai Zhu,Water utilization
Sheng Bai Zhu,Fetus 
Sheng Bai Zhu,Antiperspirant
Sheng Bai Zhu,Dampness 
Sheng Bai Zhu,Yiqi 
H1059,Strengthen the spleen
H1059,Water utilization
H1059,And stomach
H1059,Ning Xin
H1059,Soothe the nerves 
H1059,Wetting 
H0537,Moisturize  
H0537,Cleans the lungs 
H0537,Nourish yin 
H0537,Reduce fire 
NIU HUANG,Cool liver 
NIU HUANG,Resolve phlegm 
NIU HUANG,Resuscitate 
NIU HUANG,Clear heat 
NIU HUANG,Extinguish the wind 
NIU HUANG,Detoxify 
H1016,Fetus 
H1016,Strong bones 
H1016,Nourish the liver 
H1016,Tonifying the kidney 
H0342,Cut malaria 
H0342,Clear heat 
H0342,Relieve heat 
H0342,Desteaming 
Lian Xu,Hemostasis 
Lian Xu,Astringent 
Lian Xu,Pure heart 
Lian Xu,Tonifying the kidney 
H0339,Cool blood  
H0339,Hemostasis 
H0339,Purging fire 
H0339,Clear heat 
H0339,Liver cleansing 
H0339,Heat up 
H0339,Detoxify 
H1092,Dispel cold  
H1092,Analgesic
H1092,Wenzhong  
H1092,Li Qi 
H0447,Pitfall 
H0447,Qingshu 
H0447,Publish 
H0447,Clear heat 
H0447,Detoxify 
H0447,Rash 
CI SHI,Soothe the nerves 
CI SHI,Asthma 
CI SHI,Pinggan 
CI SHI,Eyesight 
CI SHI,Qianyang 
CI SHI,Nai Qi 
CI SHI,Clever 
CI SHI,Stun
Chao Man Jing Zi,Heat dissipation 
Chao Man Jing Zi,Clear leader 
Chao Man Jing Zi,Soothing wind 
H0358,Quench thirst 
H0358,Clear heat 
H0358,Shengjin 
H0358,Relieve heat 
Fu Rong Ye,Reduce swelling 
Fu Rong Ye,Cleans the lungs 
Fu Rong Ye,Pus
Fu Rong Ye,Cool blood  
H0700,Water utilization
H0700,Clear heat 
H0700,Reduce swelling 
H0700,Purging fire 
H0700,Detoxify 
H0139,Break up 
H0139,Reduce swelling 
H0139,Clear heat 
H0139,Detoxify 
HUA SHI,Water utilization
HUA SHI,Hygroscopic 
HUA SHI,Sore 
HUA SHI,Clear heat 
HUA SHI,Heat up 
HUA SHI,Relieve heat 
HUA SHI,Tonglin
H1222,Cool blood  
H1222,Hemostasis 
H1222,Purging fire 
H1222,Liver cleansing 
Lu E Mei,Resolve phlegm 
Lu E Mei,Wanaka 
Lu E Mei,Soothing the liver 
Lu E Mei,Depression 
H0529,Moisturize  
H0529,Slippery bowel 
H0529,Broken blood  
H0529,Blood stasis  
H0969,Dampness  
H0969,Antipruritic
H0969,Clear heat 
H0969,Dispel the wind  
H0962,Get angry  
H0962,Wenzhong  
H0962,Tonifying the kidney 
H0962,Supplement 
Zi Jing Pi,To rot 
Zi Jing Pi,convergence 
Zi Jing Pi,Sterilization 
Zi Jing Pi,Hemostasis 
Zi Jing Pi,Reduce swelling 
Zi Jing Pi,Detoxify 
Mi Tuo Seng,convergence 
Mi Tuo Seng,Insecticide 
Mi Tuo Seng,Dampness 
Mi Tuo Seng,Detoxify 
Mi Tuo Seng,Antiseptic 
Feng Dou,Clear heat 
Feng Dou,Nourish yin 
Feng Dou,Shengjin 
Feng Dou,Benefit stomach 
Feng Dou Chao  Jue Ming Zi,Eyesight 
Feng Dou Chao  Jue Ming Zi,Run intestines
Feng Dou Chao  Jue Ming Zi,Clear heat 
Feng Dou Chao  Jue Ming Zi,Laxative
H0347,Lag 
H0347,Depletion 
H0347,Soothing the liver 
H0347,Break gas 
H1050,Silt 
H1050,Resolve phlegm 
H1050,Cough  
H1050,Invigorate blood 
H1050,Qingli 
H1050,Damp heat 
Shou Wu Teng,Nourish blood 
Shou Wu Teng,Soothe the nerves 
Shou Wu Teng,Dispel the wind  
Shou Wu Teng,Tongluo 
Gan Qi Tan,Insecticide 
Gan Qi Tan,Depletion 
Gan Qi Tan,Break blood stasis 
Jin Bo,Soothe the nerves 
Jin Bo,Detoxify 
Jin Bo,Zhenxin 
Wei Jiang,Resolve phlegm 
Wei Jiang,Dispel cold  
Wei Jiang,Anti-vomiting 
Wei Jiang,Cough  
Wei Jiang,Solution table 
Wei Jiang,Inverse reduction 
Lu Rong,Help Yang 
Lu Rong,Strong bones 
Lu Rong,Reduce swelling 
Lu Rong,Warm the kidney 
Lu Rong,Blood run 
H0818,Cool blood  
H0818,Dampness  
H0818,Purging fire 
H0818,Clear heat 
H0818,Detoxify 
H0818,Get rid of trouble
Tu Nao,Treatment of sores 
Tu Nao,Emollient 
Huo Geng,Dehumidification 
Huo Geng,And stomach
Huo Geng,Heat up 
Huo Geng,Solution table 
H1022,Analgesic
H1022,Depletion 
H1022,Broken blood  
H1022,Qi 
Duan Wa Leng Zi,Acid production
Duan Wa Leng Zi,Huayu 
Duan Wa Leng Zi,Break up 
Duan Wa Leng Zi,Analgesic
Duan Wa Leng Zi,Eliminate phlegm 
Duan Wa Leng Zi,Soft 
H0497,Active 
H0497,Reduce swelling 
H0497,Detoxify 
H0497,Pass through 
H0282,Nourish yin 
H0282,Resolve phlegm 
H0282,Nourish the lungs
H0282,Clear heat 
H0282,Shengjin 
H0282,Benefit stomach 
H0136,Hemostasis 
H0136,Eliminate blood stasis 
H0189,Quench thirst 
H0189,Digestion 
H0189,Nourish the lungs
H0189,Shengjin 
H1096,Analgesic
H1096,Detoxification  
H1096,Rejuvenate the stomach   
H1077,Get angry  
H1077,Appetizer 
H1077,Disperse    
H1077,Antidiarrheal 
H1077,Analgesic
H1077,Wenzhong  
H1077,Detoxify 
H0428,Stool 
H0428,Urinate 
H0428,Break up 
H0428,Reduce swelling 
H0428,Detoxify 
H0428,Chase water 
H0773,Strengthen the spleen
H0773,Water utilization
H0773,And stomach
H0773,Ning Xin
H0773,Soothe the nerves 
H0773,Wetting 
Dai Mao,Surely shocked 
Dai Mao,Pinggan 
Dai Mao,Clear heat 
Dai Mao,Detoxify 
Mi Ma Dou Ling,Asthma 
Mi Ma Dou Ling,Cough  
Mi Ma Dou Ling,Hemorrhoids 
Mi Ma Dou Ling,Cleanse the intestines  
Mi Ma Dou Ling,Cleans the lungs 
Mi Ma Dou Ling,Lower breath 
H0165,Solid 
H0165,Soothe the nerves 
H0165,Pinggan 
H0165,convergence 
H0165,Qianyang 
H0165,Stun
H0056,Treat snake and insect bites 
H0056,Invigorate blood 
H0056,Eliminate carbuncle 
H0056,Clear heat 
H0056,Treatment of sores 
H0056,Dispel the wind  
H0056,Detoxify 
H0056,Dehumidification
H0397,Sharp joints
H0397,Rheumatism 
H0841,Pinggan 
H0841,Rheumatism 
H0841,Pass through 
H0841,Tongluo 
Gui Jin Yu,Insecticide 
Gui Jin Yu,Reduce swelling 
Gui Jin Yu,Broken blood  
Gui Jin Yu,Detoxify 
Gui Jin Yu,Pass through 
Sen So Sumi,Cool blood  
Sen So Sumi,Huayu 
Sen So Sumi,Hemostasis 
Sen So Sumi,Invigorate blood 
Zi Su,And stomach
Zi Su,Dispel cold  
Zi Su,Qi 
Zi Su,Solution table 
H0551,Strengthen the spleen
H0551,Eyesight 
H0551,Dampness 
H0551,Rheumatism 
H0273,Diuretic
H0273,Invigorate blood 
H0273,Clear heat 
H0273,Tongmai
JIAO MAI YA,Lag 
JIAO MAI YA,Digestion 
Ki Dai Zu,Strengthen the spleen
Ki Dai Zu,Kanaka 
Ki Dai Zu,Water elimination
Ki Dai Zu,Moisturize  
Jiao Yi Yi Ren,Strengthen the spleen
Jiao Yi Yi Ren,Pus
Jiao Yi Yi Ren,Antidiarrheal 
Jiao Yi Yi Ren,Clear heat 
Jiao Yi Yi Ren,Wetting 
Jiao Yi Yi Ren,Chu Bi 
H0055,Dampness  
H0055,Reduce swelling 
H0055,Clear heat 
H0055,Tonglin
Da Feng Zi,Challenge 
Da Feng Zi,Insecticide 
Da Feng Zi,Dampness 
Da Feng Zi,Dispel the wind  
ZHI CAO WU,Dispel cold  
ZHI CAO WU,Analgesic
ZHI CAO WU,Reduce swelling 
ZHI CAO WU,Wenjing 
ZHI CAO WU,Dispel the wind  
ZHI CAO WU,Dehumidification
H0028,Analgesic
H0028,Broken blood  
H0028,Qi 
H0028,Pass through 
H0195,Cool blood  
H0195,Hemostasis 
H0195,Clear heat 
H0195,Detoxify 
Chao bai Jie Zi,Li Qiao 
Chao bai Jie Zi,Dispel cold  
Chao bai Jie Zi,Reduce swelling 
Chao bai Jie Zi,Wenzhong  
Chao bai Jie Zi,Phlegm 
Chao bai Jie Zi,Tongluo 
Cu Ji Nei Jin,Strengthen the spleen
Cu Ji Nei Jin,Chemical food 
Cu Ji Nei Jin,Stop
Cu Ji Nei Jin,Elimination of symptoms  
Cu Ji Nei Jin,Digestion 
Cu Ji Nei Jin,Astringent 
Bai Yao Zi,Cool blood  
Bai Yao Zi,Analgesic
Bai Yao Zi,Hemostasis 
Bai Yao Zi,Clear heat 
Bai Yao Zi,Dispel the wind  
Bai Yao Zi,Detoxify 
Zhi Ba Ji Tian,Help Yang 
Zhi Ba Ji Tian,Strong bones 
Zhi Ba Ji Tian,Strong tendons 
Zhi Ba Ji Tian,Dispel the wind  
Zhi Ba Ji Tian,Tonifying the kidney 
Zhi Ba Ji Tian,Dehumidification
H1165,Insecticide 
H1165,Depletion 
Chao Bian Dou,Strengthen the spleen
Chao Bian Dou,Dehumidification 
Chao Bian Dou,Wanaka 
Chao Bian Dou,Cool off  
H0197,Antiperspirant
H0267,Dispel cold  
H0267,Analgesic
H0267,Wenzhong  
H0267,Li Qi 
H1189,Strengthen the spleen
H1189,Huayu 
H1189,Cough  
H1189,Invigorate blood 
H1189,Cleans the lungs 
H1189,Yiqi 
H0926,Cool blood  
H0926,Attack and accumulation 
H0926,Purging fire 
H0926,Damp heat 
H0926,Remove blood stasis 
H0926,Detoxify 
H0036,Liyan 
H0036,Xuanfei
H0036,Pus
H0036,Expectorant  
Huang Yao Zi,Cool blood  
Huang Yao Zi,Break up 
Huang Yao Zi,Hemostasis 
Huang Yao Zi,Elimination of galls 
Huang Yao Zi,Clear heat 
Huang Yao Zi,Detoxify 
Chao Ji Li,Pinggan 
Chao Ji Li,Eyesight 
Chao Ji Li,Antipruritic
Chao Ji Li,Invigorate blood 
Chao Ji Li,Dispel the wind  
Chao Ji Li,Depression 
Chao Huai Hua,Cool blood  
Chao Huai Hua,Hemostasis 
Chao Huai Hua,Purging fire 
Chao Huai Hua,Liver cleansing 
H1228,Purging fire 
H1228,Clear heat 
H1228,Dampness 
H1228,Treatment of sores 
H1228,Detoxify 
H1228,Desteaming 
H0542,Pinggan 
H0542,Antispasmodic 
H0542,Qianyang 
H0542,Extinguish the wind 
H0542,Dispel the wind  
H0542,Tongluo 
H0772,Invigorate blood 
H0772,Reduce swelling 
H0772,Detoxify 
H0772,Menstruation
Sheng Huang Bo,Purging fire 
Sheng Huang Bo,Clear heat 
Sheng Huang Bo,Dampness 
Sheng Huang Bo,Treatment of sores 
Sheng Huang Bo,Detoxify 
Sheng Huang Bo,Desteaming 
Tie Luo Hua,Pinggan 
Tie Luo Hua,Sore 
Tie Luo Hua,Tonic 
Tie Luo Hua,Detoxify 
Tie Luo Hua,Stun
H0611,Dispel cold  
H0611,Analgesic
H0611,Warm the kidney 
H0611,Qi 
H0695,Cut malaria 
H0695,Insecticide 
H0695,Clear heat 
H0695,Detoxify 
H1241,Purging fire 
H1241,Clear heat 
H1241,Dampness 
H1241,Detoxify 
H0117,Water utilization
H0117,Break up 
H0117,Eliminate phlegm 
H0117,Soft 
H0539,Resolve phlegm 
H0539,Exhaust 
H0539,Reduce swelling 
H0539,Nourish the lungs
H0539,Clear heat 
H0539,Shengjin 
Zhui Di Feng,Analgesic
Zhui Di Feng,Dispel the wind  
Zhui Di Feng,Qi 
Zhui Di Feng,Dehumidification
He Huan Hua,Soothe the nerves 
He Huan Hua,Depression 
H0766,Nourish the stomach
H0766,Nourish the lungs
H0766,Nourish yin 
H0766,Shengjin 
H0365,Digestion 
H0365,Astringent intestines 
H0365,Wenzhong  
H0365,Qi 
Zhi Qiao,Kanaka 
Zhi Qiao,Swelling  
Zhi Qiao,Li Qi 
Zhi Qiao,Line stagnation
H1051,Dingchuan 
H1051,Constrict the lungs 
H1051,Stop band 
H1051,Urinary contraction 
H0558,Water utilization
H0558,Asthma 
H0558,Vent evil 
H0558,Diarrhea 
H0558,Reduce swelling 
H0558,Expectorant  
H0558,Chasing evil 
H0558,Lower breath 
H0193,Water utilization
H0193,Cut malaria 
H0193,Reduce swelling 
H0193,Clear heat 
H0193,Detoxify 
Zhi Ju Zi,Water utilization
Zhi Ju Zi,Reduce swelling 
Zhi Ju Zi,Detoxification  
Zhi Tian Nan Xing,Resolve phlegm 
Zhi Tian Nan Xing,Break up 
Zhi Tian Nan Xing,Antispasmodic 
Zhi Tian Nan Xing,Dispel the wind  
H0877,Diuretic
H0877,Ignite down 
H0877,Strong bones 
H0877,Invigorate blood 
H0877,Nourish the liver 
H0877,Tonifying the kidney 
H0877,Tonglin
H0877,Pass through 
Mi Sang Bai Pi,Water utilization
Mi Sang Bai Pi,Asthma 
Mi Sang Bai Pi,Diarrhea 
Mi Sang Bai Pi,Reduce swelling 
Suo Luo Zi,Kanaka 
Suo Luo Zi,Analgesic
Suo Luo Zi,Li Qi 
Suo Luo Zi,Soothing the liver 
H0487,Cool blood  
H0487,Surely shocked 
H0487,Clear heat 
H0487,Detoxify 
Fu Ping,Diuretic
Fu Ping,Heat dissipation 
Fu Ping,Soothing wind 
Fu Ping,Rash 
H0169,Invigorate blood 
H0169,Clear heat 
H0169,Detoxify 
H0169,Breastfeeding 
Bai Fan,Insecticide 
Bai Fan,Antidiarrheal 
Bai Fan,Hemostasis 
Bai Fan,Dampness 
Bai Fan,Expectorant  
